Age,Occupation,Sleep Duration,Quality of Sleep,Physical Activity Level,Stress Level
59,Software Engineer,5.5,4,48,6
49,Engineer,6.8,7,9,3
35,Nurse,8.2,8,22,3
28,Manager,7.1,7,99,4
41,Student,7.9,8,9,4
59,Scientist,7.7,6,35,6
39,Student,8.4,8,84,3
43,Lawyer,8.2,9,60,1
31,Athlete,6.5,7,78,2
31,Salesperson,7.7,7,69,3
44,Engineer,5.3,4,92,8
56,Student,6.9,6,62,3
44,Software Engineer,7.9,6,72,3
23,Student,7.1,6,37,7
42,Manager,7.5,5,70,5
22,Lawyer,6.8,4,45,5
44,Software Engineer,8.2,7,44,4
50,Doctor,6.9,6,77,4
58,Retired,6.5,6,78,2
22,Student,8.0,7,97,5
41,Doctor,5.5,5,96,4
53,Accountant,7.6,8,78,2
32,Manager,5.9,5,12,5
42,Unemployed,8.4,7,101,3
45,Software Engineer,6.7,8,78,1
47,Teacher,7.1,6,36,3
48,Retired,7.5,7,73,5
36,Software Engineer,4.9,5,29,7
35,Nurse,6.3,5,70,4
23,Freelancer,8.1,6,22,5
57,Manager,8.0,6,35,3
27,Teacher,7.3,6,73,3
41,Software Engineer,5.5,6,82,4
29,Software Engineer,7.6,6,63,4
59,Teacher,7.8,7,48,5
38,Unemployed,7.1,7,2,3
24,Salesperson,8.3,7,50,3
45,Student,6.2,6,68,5
34,Retired,6.4,4,47,5
29,Salesperson,4.3,4,54,6
46,Nurse,8.0,7,50,4
22,Engineer,7.3,7,47,4
40,Retired,5.1,3,57,6
48,Athlete,5.1,6,48,2
27,Software Engineer,6.0,4,91,6
28,Student,7.9,8,0,1
55,Manager,6.7,6,41,4
34,Retired,6.1,7,33,5
37,Doctor,5.9,8,60,3
56,Scientist,5.8,4,57,3
24,Unemployed,4.9,4,96,6
22,Salesperson,5.7,5,104,5
26,Engineer,5.8,4,36,4
24,Software Engineer,7.8,8,55,3
49,Teacher,6.8,7,60,2
38,Lawyer,6.1,6,35,3
46,Freelancer,9.5,9,71,1
54,Teacher,6.3,7,49,2
30,Engineer,8.3,6,28,4
56,Student,8.8,8,48,1
34,Nurse,5.3,4,30,5
51,Engineer,7.1,7,81,4
35,Student,6.4,4,103,8
28,Unemployed,6.3,6,61,1
34,Manager,7.6,7,58,4
43,Student,6.3,5,59,7
41,Doctor,6.5,5,85,7
36,Freelancer,6.8,6,84,5
38,Doctor,6.6,7,52,1
44,Athlete,5.7,4,61,7
46,Teacher,7.9,6,71,3
45,Retired,8.2,9,27,1
49,Student,7.4,6,85,5
35,Athlete,6.6,5,98,4
21,Nurse,6.2,6,84,2
45,Salesperson,6.2,5,24,6
27,Manager,9.5,10,6,3
29,Athlete,8.0,6,73,6
44,Doctor,6.1,5,36,6
21,Freelancer,7.2,8,62,3
